District,Chiefdom,Name of PHU,Community,School Name,School enrollment
KOINADUGU,DIANG,Badala MCHP,DIANG BADALA (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL,189
KOINADUGU,DIANG,Badala MCHP,ISSAIA,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,126
KOINADUGU,DIANG,Dalakuru CHP,DALAKURU (DIANG),ANSARUL ISLAMIC PRIMARY SCHOOL,165
KOINADUGU,DIANG,Dalakuru CHP,DALAKURU (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL,150
KOINADUGU,DIANG,Diang Kamaroun MCHP,KANSIKORO (DIANG),"LAKE SONFON PRIMARY SCHOOL,",231
KOINADUGU,DIANG,Diang Kamaroun MCHP,KOROMANTOR / KAMARON (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL,293
KOINADUGU,DIANG,Diang Kamaroun MCHP,SINGBEYA,ROMAN CATHOLIC PRIMARY SCHOOL,178
KOINADUGU,DIANG,Diang Sokuralla MCHP,DUKONO,ROMAN CATHOLIC PRIMARY SCHOOL,152
KOINADUGU,DIANG,Diang Sokuralla MCHP,KOMOYA,ROMAN CATHOLIC PRIMARY SCHOOL,153
KOINADUGU,DIANG,Diang Sokuralla MCHP,SOKURELA - DIANG 2 (DIANG),MOVEMENT OF FAITH ISLAMIC PRIMARY SCHOOL,181
KOINADUGU,DIANG,Diang Sokuralla MCHP,SOKURELA (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL,169
KOINADUGU,DIANG,Foria CHP,DONDOYA (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL,85
KOINADUGU,DIANG,Foria CHP,FORIA (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL,278
KOINADUGU,DIANG,Foria CHP,FORIA (DIANG),"TARABIATUL ISLAMIC COMMUNITY PRIMARY SCHOOL, FORIA",196
KOINADUGU,DIANG,Kania CHP,FOGO (DIANG),AL-HARRAN ISLANMIC PRIMARY SCHOOL,189
KOINADUGU,DIANG,Kania CHP,KANIA (DIANG),ANSARUL ISLAMIC PRIMARY SCHOOL,74
KOINADUGU,DIANG,Kania CHP,KANIA (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL,164
KOINADUGU,DIANG,Kondembaia CHC,GBOGOROMA (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL,139
